,url,SalePrice,Address,Neighborhood,Type,YearBlt,LotSize,LotSize_2,bedrooms,bathrooms,full_brs,1/2_brs,kitchen_level,kitchen_area,kitchen_misc,family_desc,family_level,family_area,famly_misc,dining_desc,dining_level,dining_area,dining_misc,living_desc,living_level,basement_area,basement_qual,flooring_desc,heat_desc,cooling_desc,appliances,interior_desc,interior_door
83,https://www.zillow.com/homedetails/2536-Forest-View-Ave-River-Grove-IL-60171/3604388_zpid/,"224,000","2536 Forest View Ave,"," River Grove, IL 60171",Single Family Residence,1930,"5,349 sqft","1,510", 3, 3, 2, 1, Main, 182 ,,,,,,,, 180 ,, Flooring(Hardwood), Main,," Full,Unfinished", Hardwood, Radiant, None,," 1st Floor Bedroom, Built-in Features",
84,https://www.zillow.com/homedetails/1500-W-Grand-Ave-APT-2E-Chicago-IL-60642/70465678_zpid/,"499,000","1500 W Grand Ave APT 2E,"," Chicago, IL 60642",Condominium,2004,,"1,401", 2, 2, 2,, Main, 135 , Eating Area-Breakfast Bar,,,,, Flooring(Hardwood), Main, 342 , Combined w/ LivRm, Flooring(Hardwood), Main,," Partial,Finished",," Natural Gas, Forced Air", Central Air," Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer", Elevator,
85,https://www.zillow.com/homedetails/1425-Parnell-Ave-Chicago-Heights-IL-60411/4329880_zpid/,"59,900","1425 Parnell Ave,"," Chicago Heights, IL 60411",Multi Family,1930,,--, 4, 1, 1,,,,,,,,,,,,,,,, None,, Radiators,,,,
86,https://www.zillow.com/homedetails/2510-W-Flournoy-St-Chicago-IL-60612/2105787267_zpid/,"824,900","2510 W Flournoy St,"," Chicago, IL 60612",Multi Family,1999,,--, 9, 6, 3, 3,,,,,,,,,,,,,,," Walkout,Finished",," Natural Gas, Electric",,,,
87,https://www.zillow.com/homedetails/2727-Harrison-St-Glenview-IL-60025/3470913_zpid/,"595,000","2727 Harrison St,"," Glenview, IL 60025",Single Family Residence,1971,"10,454 sqft","2,839", 4, 3, 2, 1, Main, 132 ," Eating Area-Table Space, Pantry-Closet"," Windows(Plantation Shutters),Flooring(Hardwood)", Main, 228 ,," Windows(Plantation Shutters),Flooring(Hardwood)", Main, 234 , Separate," Windows(Curtains/Drapes),Flooring(Hardwood)", Main,," Full,Unfinished", Hardwood, Natural Gas, Central Air," Double Oven, Microwave, Dishwasher, Refrigerator, Freezer, Washer, Dryer, Disposal"," Wet Bar, Walk-In Closet(s)",
88,https://www.zillow.com/homedetails/339-Greenleaf-Ave-UNIT-D-Wilmette-IL-60091/3376857_zpid/,"590,000","339 Greenleaf Ave UNIT D,"," Wilmette, IL 60091",Townhouse,1965,No Data,"1,710", 3, 3, 2, 1, Main, 72 , Eating Area-Table Space,,,,, Flooring(Hardwood), Main, 325 , Separate, Flooring(Hardwood), Main,," Full,Partially Finished",," Natural Gas, Forced Air", Central Air," Range, Microwave, Dishwasher, Refrigerator",,
89,https://www.zillow.com/homedetails/6557-W-Addison-St-APT-3W-Chicago-IL-60634/3657663_zpid/,"122,500","6557 W Addison St APT 3W,"," Chicago, IL 60634",Condominium,1973,,800, 1, 1, 1,, Main, 224 ,,,,,,,, 224 , Kitchen/Dining Combo,, Main,," Full,English,Finished",, Electric, 1 (Window/Wall Unit),,,
90,https://www.zillow.com/homedetails/850-N-Dewitt-Pl-APT-4H-Chicago-IL-60611/3852306_zpid/,"275,000","850 N Dewitt Pl APT 4H,"," Chicago, IL 60611",Condominium,1961,,869, 1, 1, 1,, Main, 110 ,,,,,,,, 340 ,, Windows(Blinds), Main,, None,, Radiant, 2 (Window/Wall Unit),," Elevator, Storage, Doorman, Granite Counters, Lobby",
91,https://www.zillow.com/homedetails/6514-S-Talman-Ave-Chicago-IL-60629/2103751770_zpid/,"459,000","6514 S Talman Ave,"," Chicago, IL 60629",Multi Family,1924,,--, 8, 4, 4,,,,,,,,,,,,,,,," Full,Finished",, Natural Gas,,,,
92,https://www.zillow.com/homedetails/401-N-Wabash-Ave-73B-Chicago-IL-60611/2140818731_zpid/,"1,300,000","401 N Wabash Ave #73B,"," Chicago, IL 60611",Condominium,2008,,"1,839", 2, 3, 2, 1, Main, 165 , Eating Area-Breakfast Bar,,,,,, Main, 464 , Combined w/ LivRm, Flooring(Hardwood), Main,, None, Hardwood," Natural Gas, Forced Air", Central Air," Range, Microwave, Dishwasher, Refrigerator, Freezer, Washer, Dryer, Disposal",,
